id,question_text_de,question_text_en,question_text_dari,question_text_pashto,category,state,image
11,Wie wird die Verfassung der Bundesrepublik Deutschland genannt?,What is the Constitution of the Federal Republic of Germany called?,قانون اساسی جمهوری فدرال آلمان چه نام دارد؟,د جرمني وفاقي جمهوریت اساسي قانون څه نوم کیږي؟,general,,
12,Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?,A party in the German Bundestag wants to abolish press freedom. Is that possible?,یک حزب در بوندستاگ آلمان می خواهد آزادی مطبوعات را لغو کند. آیا این امکان پذیر است؟,په جرمني بنډسټاګ کې یو ګوند غواړي چې د مطبوعاتو آزادۍ ختم کړي. ایا دا امکان لري؟,general,,
13,"Im Parlament steht der Begriff ""Opposition"" für ...","In Parliament, the term “opposition” stands for...",در پارلمان، اصطلاح «اپوزیسیون» مخفف...,په پارلمان کې، «مخالف» اصطلاح د...,general,,
14,"Meinungsfreiheit in Deutschland heißt, dass ich ...",Freedom of speech in Germany means that I...,آزادی بیان در آلمان به این معنی است که من...,په جرمني کې د بیان آزادۍ پدې معنی لري چې زه...,general,,
15,Was verbietet das deutsche Grundgesetz?,What does the German constitution prohibit?,قانون اساسی آلمان چه چیزی را ممنوع می کند؟,د آلمان اساسي قانون څه منع کوي؟,general,,
16,Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?,When is freedom of speech restricted in Germany?,چه زمانی آزادی بیان در آلمان محدود می شود؟,کله چې په آلمان کې د بیان آزادۍ محدود کیږي؟,general,,
17,Die deutschen Gesetze verbieten ...,German laws prohibit...,قوانین آلمان ممنوع...,د جرمني قوانین منع...,general,,
18,Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?,Which fundamental right is guaranteed in Article 1 of the Basic Law of the Federal Republic of Germany?,کدام حق اساسی در ماده 1 قانون اساسی جمهوری فدرال آلمان تضمین شده است؟,د آلمان وفاقي جمهوریت د اساسي قانون په 1 ماده کې کوم بنسټیز حق تضمین کیږي؟,general,,
19,"Was versteht man unter dem Recht der ""Freizügigkeit"" in Deutschland?",What is meant by the right of “free movement” in Germany?,منظور از حق «حرکت آزاد» در آلمان چیست؟,په جرمني کې د «آزاد حرکت» د حق څه معنی لري؟,general,,
20,"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann ...",A party in Germany pursues the goal of establishing a dictatorship. She is then...,یک حزب در آلمان هدف ایجاد یک دیکتاتوری را دنبال می کند. او پس از آن است...,په جرمني کې یو ګوند د دیکټرۍ رامنځته کولو هدف تعیین کوي. هغه بیا دی...,general,,
21,Welches ist das Wappen der Bundesrepublik Deutschland?,What is the coat of arms of the Federal Republic of Germany?,علامت جمهوری فدرال آلمان چیست؟,د جرمني وفاقي جمهوریت د وسلو کوټ څه دی؟,general,,1.0
22,Was für eine Staatsform hat Deutschland?,What form of government does Germany have?,آلمان چه شکل دولتی دارد؟,جرمني د حکومت کوم ډول لري؟,general,,
23,In Deutschland sind die meisten Erwerbstätigen ...,"In Germany, most workers are...",در آلمان بیشتر کارگران...,په جرمني کې، ډیری کارکونکي دي...,general,,
24,Wie viele Bundesländer hat die Bundesrepublik Deutschland?,How many federal states does the Federal Republic of Germany have?,جمهوری فدرال آلمان چند ایالت فدرال دارد؟,د آلمان وفاقي جمهوریت څومره وفاقي ایالتونه لري؟,general,,
25,Was ist kein Bundesland der Bundesrepublik Deutschland?,What is not a federal state of the Federal Republic of Germany?,چه چیزی یک ایالت فدرال جمهوری فدرال آلمان نیست؟,د جرمني وفاقي جمهوریت وفاقي دولت څه نه ده؟,general,,
26,Deutschland ist ...,Germany is...,آلمان...,جرمني دی...,general,,
27,Deutschland ist ...,Germany is...,آلمان...,جرمني دی...,general,,
28,Wer wählt in Deutschland die Abgeordneten zum Bundestag?,Who elects members of parliament to the Bundestag in Germany?,چه کسانی اعضای پارلمان را به بوندستاگ آلمان انتخاب می کنند؟,څوک په جرمني کې د بنډسټاګ ته د پارلمان غړي ټاک کوي؟,general,,
29,Welches Tier ist das Wappentier der Bundesrepublik Deutschland?,Which animal is the heraldic animal of the Federal Republic of Germany?,کدام حیوان هرالدیک جمهوری فدرال آلمان است؟,کوم حیوان د جرمني وفاقي جمهوریت هرالدیک حیوان دی؟,general,,
30,Was ist kein Merkmal unserer Demokratie?,What is not a feature of our democracy?,چه چیزی یکی از ویژگی های دموکراسی ما نیست؟,زموږ د دیموکراسۍ یو ځانګړتیا څه نه دی؟,general,,
31,Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland ...,"In Germany, the cooperation of parties to form a government is called...",در آلمان، همکاری احزاب برای تشکیل دولت نامیده می شود...,په جرمني کې د حکومت جوړولو لپاره د ګونډو همکارۍ نوم کیږي...,general,,
32,Was ist keine staatliche Gewalt in Deutschland?,What is not state power in Germany?,قدرت دولتی در آلمان چه چیزی نیست؟,په آلمان کې د دولتي ځواک څه نه دی؟,general,,
33,Welche Aussage ist richtig? In Deutschland ...,Which statement is correct? In Germany...,کدام عبارت درست است؟ در آلمان...,کوم بیان صحیح دی؟ په جرمني کې...,general,,
34,Was ist Deutschland nicht?,What is Germany not?,آلمان چه چیزی نیست؟,جرمني څه نه ده؟,general,,
35,Womit finanziert der deutsche Staat die Sozialversicherung?,How does the German state finance social security?,دولت آلمان چگونه تأمین اجتماعی را تأمین می کند؟,د آلمان دولت څنګه ټولنیز امنیت مالي کوي؟,general,,
36,Welche Maßnahme schafft in Deutschland soziale Sicherheit?,Which measures create social security in Germany?,چه اقداماتی امنیت اجتماعی را در آلمان ایجاد می کند؟,کوم اقدامات په آلمان کې ټولنیز امنیت رامینځته کوي,general,,
37,Wie werden die Regierungschefinnen/Regierungschefs der meisten Bundesländer in Deutschland genannt?,What are the heads of government of most federal states in Germany called?,سران دولت اکثر کشورهای فدرال آلمان چه نام دارند؟,په جرمني کې د ډیرو وفاقي ایالتونو د حکومت مشرانو څه نوم کیږي؟,general,,
38,Die Bundesrepublik Deutschland ist ein demokratischer und sozialer ...,The Federal Republic of Germany is a democratic and social...,جمهوری فدرال آلمان یک دموکراتیک و اجتماعی است...,د جرمني وفاقي جمهوریت یو ډیموکراتیک او ټولنیز...,general,,
39,Was hat jedes deutsche Bundesland?,What does every German federal state have?,هر ایالت فدرال آلمان چه چیزی دارد؟,هر آلمان وفاقي ایالت څه لري؟,general,,
40,Mit welchen Worten beginnt die deutsche Nationalhymne?,With which words does the German national anthem begin?,سرود ملی آلمان با کدام کلمات آغاز می شود؟,د آلمان ملي سرود کوم کلمې سره پیل کیږي؟,general,,
41,Warum gibt es in einer Demokratie mehr als eine Partei?,Why is there more than one party in a democracy?,چرا در دموکراسی بیش از یک حزب وجود دارد؟,ولې په یوه ډموکراسي کې له یو څخه ډیر ګوند شتون لري؟,general,,
42,Wer beschließt in Deutschland ein neues Gesetz?,Who passes a new law in Germany?,چه کسانی قانون جدید را در آلمان تصویب می کنند؟,څوک په جرمني کې نوی قانون ترلاسه کوي؟,general,,
43,Wann kann in Deutschland eine Partei verboten werden?,When can a party be banned in Germany?,چه زمانی می توان یک حزب در آلمان ممنوع شود؟,کله چې په جرمني کې د یوې ګوند بندیز ولري؟,general,,
44,Wen kann man als Bürgerin/Bürger in Deutschland nicht direkt wählen?,"As a citizen in Germany, who cannot you directly vote for?",به عنوان یک شهروند آلمان، نمی توانید مستقیماً به چه کسانی رای دهید؟,په جرمني کې د وګړي په توګه، تاسو څوک ته په مستقیم ډول را,general,,
45,Zu welcher Versicherung gehört die Pflegeversicherung?,Which insurance does long-term care insurance include?,بیمه مراقبت طولانی مدت کدام بیمه را شامل می شود؟,د اوږدې مهال پاملرنې بیمه کوم بیمه شامل دي,general,,
46,Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?,The German state has many tasks. Which task does this involve?,دولت آلمان وظایف زیادی دارد. این کدام وظیفه را شامل می شود؟,د آلمان دولت ډیری دندې لري. په دې کې کوم دنده شامل دي؟,general,,
47,Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?,The German state has many tasks. Which task is not included?,دولت آلمان وظایف زیادی دارد. کدام وظیفه گنجانده نشده است؟,د آلمان دولت ډیری دندې لري. کوم دنده شامل نه دی؟,general,,
48,Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?,Which organ is not one of the constitutional organs of Germany?,کدام ارگان یکی از ارگان های قانون اساسی آلمان نیست؟,کوم ارگان د جرمني اساسي ارګانونو څخه نه ده؟,general,,
49,Wer bestimmt in Deutschland die Schulpolitik?,Who determines school policy in Germany?,سیاست مدرسه در آلمان چه کسانی تعیین می کنند؟,په آلمان کې د ښوونځیو پالیسۍ څوک,general,,
50,Die Wirtschaftsform in Deutschland nennt man ...,The type of economy in Germany is called...,نوع اقتصاد در آلمان نامیده می شود...,په آلمان کې د اقتصاد ډول نوم کیږي...,general,,
51,"Zu einem demokratischen Rechtsstaat gehört es nicht, dass ...",It is not part of a democratic constitutional state that...,این بخشی از یک دولت قانون اساسی دموکراتیک نیست که...,دا د یوې ډموکراتیک اساسي دولت برخه نه ده چې...,general,,
52,"Was bedeutet ""Volkssouveränität""? Alle Staatsgewalt geht vom ...",What does “popular sovereignty” mean? All state authority comes from...,«حاکمیت مردمی» به چه معناست؟ تمام مقامات دولتی از...,«مشهور حاکمیت» څه معنی لري؟ ټول دولتي واکونه له... څخه راځي,general,,
53,"Was bedeutet ""Rechtsstaat"" in Deutschland?",What does “rule of law” mean in Germany?,«حاکمیت قانون» در آلمان به چه معناست؟,په آلمان کې د «قانون حاکمیت» څه معنی لري؟,general,,
54,Was ist keine staatliche Gewalt in Deutschland?,What is not state power in Germany?,قدرت دولتی در آلمان چه چیزی نیست؟,په آلمان کې د دولتي ځواک څه نه دی؟,general,,
55,Was zeigt dieses Bild?,What does this picture show?,این تصویر چه چیزی را نشان می دهد؟,دا انځور څه ښیي؟,general,,1.0
56,Welches Amt gehört in Deutschland zur Gemeindeverwaltung?,Which office is part of the municipal government in Germany?,کدام دفتر بخشی از دولت شهرداری در آلمان است؟,په آلمان کې د ښاروالي حکومت کوم دفتر برخه ده؟,general,,
57,Wer wird meistens zur Präsidentin/zum Präsidenten des Deutschen Bundestages gewählt?,Who is usually elected president of the German Bundestag?,معمولا چه کسانی به عنوان رئیس جمهور بوندستاگ آلمان انتخاب می شوند؟,څوک معمولا د آلمان بنډسټاګ ولسمشر ټاکل کیږي؟,general,,
58,Wer ernennt in Deutschland die Ministerinnen/die Minister der Bundesregierung?,Who appoints the ministers of the Federal Government in Germany?,چه کسانی وزیران دولت فدرال در آلمان را تعیین می کنند؟,په جرمني کې د وفاقي حکومت وزيران څوک ټاکل کوي؟,general,,
59,Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?,How many years ago did a Jewish community first exist on the territory of present-day Germany?,چند سال پیش یک جامعه یهودی برای اولین بار در قلمرو آلمان امروزی وجود داشت؟,څومره کاله وړاندې یو یهودی ټولنه لومړی د اوسنۍ آلمان په سیمه کې شتون لري؟,general,,
60,In Deutschland gehören der Bundestag und der Bundesrat zur ...,"In Germany, the Bundestag and the Federal Council are part of...",در آلمان، بونداستاگ و شورای فدرال بخشی از...,په جرمني کې، بونډسټاګ او وفاقي شورا د...,general,,
61,"Was bedeutet ""Volkssouveränität""?",What does “popular sovereignty” mean?,«حاکمیت مردمی» به چه معناست؟,«مشهور حاکمیت» څه معنی لري؟,general,,
62,"Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das ...","When the parliament of a German federal state is elected, it is called...",هنگامی که پارلمان یک ایالت فدرال آلمان انتخاب می شود، به آن می گویند...,کله چې د جرمني یوې وفاقي ریاست پارلمان ټاکل کیږي، نو دا نوم کیږي...,general,,
63,Was gehört in Deutschland nicht zur Exekutive?,What is not part of the executive branch in Germany?,چه چیزی بخشی از شاخه اجرایی در آلمان نیست؟,په آلمان کې د اجراییوي څانګې برخه څه نه دی؟,general,,
64,Die Bundesrepublik Deutschland ist heute gegliedert in ...,The Federal Republic of Germany is now divided into...,جمهوری فدرال آلمان در حال حاضر به...,د جرمني وفاقي جمهوریت اوس په... ویشل شوی دی,general,,
65,"Es gehört nicht zu den Aufgaben des Deutschen Bundestages, ...",It is not one of the tasks of the German Bundestag to...,این یکی از وظایف بوندستاگ آلمان نیست که...,دا د جرمني بونډسټاګ یو دندې نه ده چې...,general,,
66,Welche Städte haben die größten jüdischen Gemeinden in Deutschland?,Which cities have the largest Jewish communities in Germany?,کدام شهرها بزرگترین جوامع یهودی را در آلمان دارند؟,کوم ښارونه په آلمان کې لوی یهودی ټولنې لري؟,general,,
67,Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?,"In Germany, what is primarily a task of the federal states?",در آلمان، در درجه اول وظیفه ایالت های فدرال چیست؟,په جرمني کې، په اصل کې د وفاقي ایالتونو دنده څه دی؟,general,,
68,Warum kontrolliert der Staat in Deutschland das Schulwesen?,Why does the state control the school system in Germany?,چرا دولت نظام مدارس را در آلمان کنترل می کند؟,ولې دولت په جرمني کې د ښوونځي نظام کنټرول کوي؟,general,,
69,Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?,The Federal Republic of Germany has a three-level administrative structure. What is the lowest political level called?,جمهوری فدرال آلمان دارای ساختار اداری سه سطحی است. پایین ترین سطح سیاسی به چه میگویند؟,د جرمني وفاقي جمهوریت د درې کچه اداري جوړښت لري. ټیټ سیاسي کچه څه ویل کیږي؟,general,,
70,Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten?,German President Gustav Heinemann gives Helmut Schmidt the certificate of appointment as German Chancellor in 1974. What are the duties of the German Federal President?,گوستاو هاینمن رئیس جمهور آلمان به هلموت اشمیت گواهی انتصاب به عنوان صدراعظم آلمان را در سال ۱۹۷۴ داد. وظایف رئیس جمهور فدرال آلمان چیست؟,د آلمان ولسمشر ګسټاف هینیمن هلموت شمیټ ته د 1974 په کال کې د آلمان چانسلر په توګه د ګوټلو سند د آلمان وفاقي ولسمشر دندې څه دي؟,general,,1.0
71,Wo hält sich die deutsche Bundeskanzlerin/der deutsche Bundeskanzler am häufigsten auf? Am häufigsten ist sie/er ...,"Where does the German Federal Chancellor spend most often? Most often, she/he is...",صدراعظم فدرال آلمان اغلب در کجا خرج می کند؟ اغلب اون/او...,د آلمان فدرال چانسلر ډیری وختونه چیرته لګول ډیری وختونه، های/هغه...,general,,
72,Wie heißt die jetzige Bundeskanzlerin/der jetzige Bundeskanzler von Deutschland?,What is the name of the current Federal Chancellor of Germany?,نام صدراعظم فعلی فدرال آلمان چیست؟,د آلمان د اوسنۍ فدرال چانسلر نوم څه دی؟,general,,
73,Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit ...,The two largest factions in the German Bundestag are currently called...,دو جناح بزرگ در بوندستاگ آلمان در حال حاضر نامیده می شوند...,په جرمني بونډسټاګ کې دوه لوی جماعې اوس مهال...,general,,
74,Wie heißt das Parlament für ganz Deutschland?,What is the name of the parliament for the whole of Germany?,نام پارلمان برای کل آلمان چیست؟,د ټول آلمان لپاره د پارلمان نوم څه دی؟,general,,
75,Wie heißt Deutschlands heutiges Staatsoberhaupt?,What is the name of Germany's current head of state?,نام رئیس دولت فعلی آلمان چیست؟,د آلمان د اوسنۍ دولت رئیس نوم څه دی؟,general,,
76,Was bedeutet die Abkürzung CDU in Deutschland?,What does the abbreviation CDU mean in Germany?,اختصار CDU در آلمان به چه معناست؟,په آلمان کې د CDU مخفف څه معنی لري؟,general,,
77,Was ist die Bundeswehr?,What is the Bundeswehr?,بوندسور چیست؟,بنډسویر څه شی دی؟,general,,
78,Was bedeutet die Abkürzung SPD?,What does the abbreviation SPD mean?,اختصار SPD به چه معناست؟,مخفف SPD څه معنی لري؟,general,,
79,Was bedeutet die Abkürzung FDP in Deutschland?,What does the abbreviation FDP mean in Germany?,اختصار FDP در آلمان به چه معناست؟,په آلمان کې د FDP مخفف څه معنی لري؟,general,,
80,Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?,Which court in Germany is responsible for interpreting the Basic Law?,کدام دادگاه در آلمان مسئول تفسیر قانون اساسی است؟,په آلمان کې کوم محکمه د اساسي قانون د تفسیر مسؤلیت لري؟,general,,
81,Wer wählt die Bundeskanzlerin/den Bundeskanzler in Deutschland?,Who elects the Federal Chancellor in Germany?,چه کسانی صدراعظم فدرال آلمان را انتخاب می کنند؟,په آلمان کې د وفاقي چانسلر څوک غوره کوي,general,,
82,Wer leitet das deutsche Bundeskabinett?,Who heads the German federal cabinet?,چه کسانی رئیس کابینه فدرال آلمان هستند؟,د آلمان وفاقي کابینه څوک مشري کوي,general,,
83,Wer wählt die deutsche Bundeskanzlerin/den deutschen Bundeskanzler?,Who elects the German Federal Chancellor?,چه کسانی صدراعظم آلمان را انتخاب می کنند؟,د آلمان وفاقي چانسلر څوک ټاکي؟,general,,
84,Welche Hauptaufgabe hat die deutsche Bundespräsidentin/der deutsche Bundespräsident? Sie/Er ...,What is the main task of the German Federal President? She/he...,وظیفه اصلی رئیس جمهور فدرال آلمان چیست؟ اون/اون...,د آلمان وفاقي ولسمشر اصلي دنده څه دی؟ های/هغه...,general,,
85,Wer bildet den deutschen Bundesrat?,Who makes up the German Federal Council?,شورای فدرال آلمان چه کسانی هستند؟,د آلمان وفاقي شورا څوک جوړوي؟,general,,
86,Wer wählt in Deutschland die Bundespräsidentin/den Bundespräsidenten?,Who elects the Federal President in Germany?,چه کسانی رئیس جمهور فدرال آلمان را انتخاب می کنند؟,په آلمان کې وفاقي ولسمشر څوک غوره کوي؟,general,,
87,Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?,Who is the head of state of the Federal Republic of Germany?,رئیس دولت جمهوری فدرال آلمان کیست؟,د جرمني وفاقي جمهوریت د دولت مشر څوک دی؟,general,,
88,Die parlamentarische Opposition im Deutschen Bundestag ...,The parliamentary opposition in the German Bundestag...,مخالفان پارلمانی در بوندستاگ آلمان...,په جرمني بونډسټاګ کې پارلماني مخالفین...,general,,
89,Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?,What is the association of members of a party in parliament called in Germany?,انجمن اعضای یک حزب در پارلمان در آلمان چه نام دارد؟,په جرمني کې د پارلمان کې د یوې ګوند غړو ټولنه څه بلل کیږي؟,general,,
90,Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch ...,The German federal states participate in federal legislation through...,ایالت های فدرال آلمان در قوانین فدرال از طریق...,د آلمان وفاقي ایالتونو په وفاقي قانون کې برخه اخلي...,general,,
91,In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird ...,"In Germany, a change of government in a federal state can have an impact on federal politics. Governing will...",در آلمان، تغییر دولت در یک ایالت فدرال می تواند بر سیاست فدرال تأثیر بگذارد. حاکمیت خواهد...,په جرمني کې، په یوه وفاقي ریاست کې د حکومت بدلون کولی شي د وفاقي سیاست باندې اغیزه ولري. حکومتوالۍ به...,general,,
92,Was bedeutet die Abkürzung CSU in Deutschland?,What does the abbreviation CSU mean in Germany?,اختصار CSU در آلمان به چه معناست؟,په آلمان کې د CSU مخفف څه معنی لري؟,general,,
93,"Je mehr ""Zweitstimmen"" eine Partei bei einer Bundestagswahl bekommt, desto ...","The more “second votes” a party receives in a federal election, the...",هرچه «رای دوم» بیشتری که یک حزب در انتخابات فدرال دریافت کند،...,د وفاقي ټاکنو کې یو ګوند څومره «دوهم رایې» ترلاسه کوي،...,general,,
94,Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?,From what age can you vote in the German Bundestag elections?,از چه سنی می توانید در انتخابات بوندستاگ آلمان رای دهید؟,تاسو د آلمان بنډسټاګ ټاکنو کې د کوم عمر څخه رای کولی شئ؟,general,,
95,Was gilt für die meisten Kinder in Deutschland?,What applies to most children in Germany?,چه چیزی برای اکثر کودکان آلمان صدق می کند؟,په آلمان کې ډیری ماشومانو ته څه تطبیق کوي,general,,
96,"Wie kann jemand, der den Holocaust leugnet, bestraft werden?",How can someone who denies the Holocaust be punished?,چگونه می توان شخصی که هولوکاست را انکار می کند مجازات شود؟,څنګه کولی شي هغه څوک چې د هولوکاسټ انکار و,general,,
97,"Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?",What do you automatically pay in Germany if you are permanently employed?,اگر به طور دائمی شغل هستید، به طور خودکار در آلمان چه پرداخت می کنید؟,که تاسو په دائم ډول کارمند یاست نو تاسو په آلمان کې په اتومات ډول څه,general,,
98,"Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...","When members of the German Bundestag change their parliamentary group,...",وقتی اعضای بوندستاگ آلمان گروه پارلمانی خود را تغییر می دهند،...,کله چې د جرمني بنډسټاګ غړي خپل پارلماني ډلې بدلوي،...,general,,
99,Wer bezahlt in Deutschland die Sozialversicherungen?,Who pays social security in Germany?,چه کسانی در آلمان تأمین اجتماعی را پرداخت می کنند؟,څوک په جرمني کې ټولنیز امنیت ورکوي؟,general,,
100,Was gehört nicht zur gesetzlichen Sozialversicherung?,What is not covered by statutory social security?,چه چیزی تحت تأمین اجتماعی قانونی قرار نمی گیرد؟,څه چې قانوني ټولنیز امنیت لخوا پوښل نه دی؟,general,,
101,Gewerkschaften sind Interessenverbände der ...,Trade unions are interest groups of...,اتحادیه های کارگری گروههای منافع هستند که...,سوداګرۍ اتحادیې د ګټو ډلو دي,general,,
102,"Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem ...","What can you be honored with in the Federal Republic of Germany if you have made a special contribution in the political, economic, cultural, intellectual or social fields? With the...",اگر در زمینه های سیاسی، اقتصادی، فرهنگی، فکری یا اجتماعی سهم خاصی داشته باشید، در جمهوری فدرال آلمان از چه چیزی می توانید افتخار کنید؟ با...,که تاسو په سیاسي، اقتصادي، فرهنګي، فکري یا ټولنیزو برخو کې ځانګړي مرسته کړی وي نو د آلمان وفاقي جمهوریت کې تاسو څه سره اعتراف وشئ؟ سره...,general,,
103,"Was wird in Deutschland als ""Ampelkoalition"" bezeichnet? Die Zusammenarbeit ...",What is referred to as a “traffic light coalition” in Germany? The collaboration...,در آلمان به چه چیزی «ائتلاف چراغ راهنمایی» یاد می شود؟ همکاری...,په جرمني کې د «د ټرافيک رڼا اتحاد» په توګه څه یاد کیږ همکاري...,general,,
104,Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?,A woman in Germany loses her job. What must not be the reason for this dismissal?,یک زن در آلمان شغل خود را از دست می دهد چه چیزی نباید دلیل این اخراج باشد؟,په آلمان کې یو ښځه خپل دنده له لاسه ورکوي د دې د برېښودلو دلیل باید څه نه وي؟,general,,
105,Was ist eine Aufgabe von Wahlhelferinnen/Wahlhelfern in Deutschland?,What is the task of election workers in Germany?,وظیفه کارگران انتخاباتی در آلمان چیست؟,په آلمان کې د ټاکنو کارمندانو دنده څه دی؟,general,,
106,In Deutschland helfen ehrenamtliche Wahlhelferinnen und Wahlhelfer bei den Wahlen. Was ist eine Aufgabe von Wahlhelferinnen/Wahlhelfern?,"In Germany, volunteers help with the elections. What is the task of election workers?",در آلمان، داوطلبان در انتخابات کمک می کنند. وظیفه کارگران انتخاباتی چیست؟,په آلمان کې داوطلبانو په ټاکنو کې مرسته کوي. د ټاکنو کارمندانو دنده څه دی؟,general,,
107,Für wie viele Jahre wird der Bundestag in Deutschland gewählt?,For how many years is the Bundestag elected in Germany?,برای چند سال بوندستاگ در آلمان انتخاب می شود؟,په آلمان کې د بنډسټاګ څومره کلونو لپاره ټاکل شوی؟,general,,
108,"Bei einer Bundestagswahl in Deutschland darf jede/jeder wählen, die/der ...","In a federal election in Germany, anyone who...",در انتخابات فدرال در آلمان، هر کس که...,په جرمني کې د وفاقي ټاکنو کې، هر څوک چې...,general,,
109,Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?,How often do federal elections normally take place in Germany?,انتخابات فدرال به طور معمول چند بار در آلمان برگزار می شود؟,په جرمني کې په عمومي ډول وفاقي ټاکنې څومره وخت,general,,
110,Für wie viele Jahre wird der Bundestag in Deutschland gewählt?,For how many years is the Bundestag elected in Germany?,برای چند سال بوندستاگ در آلمان انتخاب می شود؟,په آلمان کې د بنډسټاګ څومره کلونو لپاره ټاکل شوی؟,general,,
111,Welche Handlungen mit Bezug auf den Staat Israel sind in Deutschland verboten?,Which acts relating to the State of Israel are prohibited in Germany?,کدام اقدامات مربوط به دولت اسرائیل در آلمان ممنوع است؟,په جرمني کې د اسرائیل د دولت په اړه کوم اعمال منع دي؟,general,,
112,Die Wahlen in Deutschland sind ...,The elections in Germany are...,انتخابات در آلمان...,په جرمني کې ټاکنې د...,general,,
